text ,emotions,
"???? ???? ?????? ??? ?????? ????? ????????? ?? ?? ??????? ????? ??? ???? ????? ?????? ???????????? ??? ?????? ?????? ??????? ???? ?????? ???? ???? ?????? ??????????? ???????? ?????????????? 

",Joy,
"???? ???? ??: ?????? ???? ???? ?????? ??? ?????? ???? ?????? ?????? ????? ?????

M. Rashida Begum",gratitude,
????? ???? ????? ?????? ???? ?????? ??????,Joy,
??? ????? ????? ??????? ????? ??????????? ??????????,Fear,
??? ??? ???? ?????,Remorse,
??? ????? ??? ?? ???? ???! ??????? ???????? ??? ?? ???????? ???? ??? ??? ???? ???? ????? ??? ???? ????! #catalinaisland,Joy,
???? ?????? ???? ????? ???? ???????#rainyday,Realization,
"??????? ????? ???????? ???? ???? ?????? ???? ?????? ????? ???? ??? ?????????????? ????? ?????? ???? ?????????? ??? ?? ?????? ????? ??????? ?????? ???? ??? ??????? ??????? ???? ??????? 

??? ???????? 

??? ????? ????? ????, ???? ???? ???? ??? ??? ?????????????? ??????? ?????, ???? ???? ?? ??? ??? ???? ??? ?????? ??????? ????? ??????? ???? ??? ??? ???? ????? ?????? ???? ????? ????  ????? ????,  ?????? ?????? ?? ??????,  ??? ???? ????? ????? ?? ?????? ?? ????? ????? ????? ?????? ????? ???? ???? ??? ??? ????? ?? ????? ?????? ??? ?????

???? ???????? ????????? ??? ?? ??????? ???? ???, ??????? ??? ??! ?????? ???? ?????-????, ?????- ?? ????? ??? ???? ???? ??????? ???? ????? ?? ???????? ????, '???? ?????? ??????' ? ?????? ????? ??? ????? ??? ??? ????-??????? ??????? ?? ??????, ??? ?????? ??? ??, ???? ???????? ??? ????? ??? ???? ??????? ???????? ????? ???? ??????, ??????? ???? ?????? ?????? ???? ???? ???? 

???? ????? ???? ???, ???? ??? ?????? ?????? ???? ?????? ???, ??? ?????? '??????????' ???? ?????? ????, ???? ???? ??? ?????! ????? ?-? ???? ?? ???? ?????, ??????? ??????? ???? ???? ???? ????? ??? ????? ?? ????? ???? ?????? ?????? ???, ????? ????? ??? ???? ????  

?????? ???? ????? ???? ???? ??????? ?????, ??? ???? ???? ???? ??? ????? ??? ????? ??? ????, ?????? ???, ?? ?? ??? ?? ?????? ????? ???? ???? ???? ????? ???? ?????? ?? ???? ??? ???? ???? ???? ???? ???? ????? ???? ????!    

????? ???, ""???? ????? ??????"", ???? ????? ????????? ???? ?????? ????? ???? ???????? ????? ?? ??? ?????????? ??? ????? ???? ????? ?? ??? ??, ??? ?????? ???? ???? ????? ???? ??? ???? ????? ????????,  ?? ????? ??????, ????????, ????? ???????? ??? ??????? ?? ???????? ??? ?? ????? ???? ?????? ???, ??? ???? ???? ??? ?????? ???? ???? ??????? ?????? ?? ???????? ????? ????? ???, ????? ???? ????? ????? ?????????? ????????????? 

?????? ??????? ??? ??????? ??????-?????, ?????-????????? ???? ???? ????? ???? ???? ?????? ??? ??????????? ???? ???? ???, ???? ?????? ????? ????? ??????? ????? ????? ???? ????, ????, ???? ??? ?????? ????? ???? ????????? ??? ???? ?????? 

???? ???? ????? ???????? ?? ???? ???? ???? ???? ????? ????????? ?????? ????? ?????? ??????? ?? ????? ????? ????? 
????? ???? ????? ??????, '? ????? ?? ??????  ???? ???? ???'?
- ????? ????, ???? ???? 
???? ?????? ??????? ?????? ?? ???, ?? ??? ???????? 
???? ????? ??????, '?? ?????? ?????? ?? ?? ????? ???? ?? ???? ???? ???? ???? ???? ??'?  
?? ???? ???, '??????? ??? ???? ????? ????'?
????? ???????? ???? ???? ??? ???? ????, '????????? ???? ???? ?? ?? ?????'?   

???????? ???? ??-??-???? ???? ????? ??????? ???, '??? ?? ????????????'?
 - ????? ????? ??? ???? ???????? ?? ??????? ??????? ? ???? ??????? ?? ??? ?? ?????? ??? ???? ??? ????? ???? ?????? ?? ?? ????? ??????? ?? ????? ??? ??? ??? ???? ????? ??? ??? ?????? ????? ???? ??? ???? ??????? ??? ?????? ???? ? ?????? ?????? ??? ??? ???? ???? ????? ?????? ??? ???? ?????? ???? ????? ??????? ?????? ????????....
??? ?????? ??????? ?????, '?????, ?????? ?????, ???? ????? ????'? 
??? ????? ?????, ????? ????? ?????? ???? ?????, '???????  ????? ??????? ??'? 

??? ????? ?????? ????? ??????? ??? ??????, 

??????? ?????
??????? ??? ??????????? ????? 

??? ??????? ????? ?????
??????????? ??????
???? ??? ???? ?????? ???????
??????? ??? ????????;
?????? ?????? ?? ??????
????? ????? ??????
..................
???? ???? ??? ??? ?????? ????????? ??? ??????? ?????? ???????? ????? ??? ???? ???? ??? ???, '?????? ???????, ?? ????,  ??? ??? ????? ????? ???????'?

???? ?? ???? ! ?????? ?? ???? ??? ????? ???? ??? ???? ????? ???? ??? ?????, ??????? !",Cuiriosity,
"???? ????? ???? ??? ?? ????,             ????-????? ???? ?? ?? ???? ?????                ???????? ????? ???? ??? ?????,                ?????? ?? ???? ??? ???? ???????             ??? ????, ?? ????? ??? ???? ????    ????? ????, ???? ??? ??? ??????     ?????? #roses",Remorse,
"?????? ??? ???????? ????????? ?????????????? ???? ????? ????? ??????? ????? ???? ??? ???? ??? ????, ????, ???, ?????? ???? ??? ??????? ?????? ????? ?????????? ??? ??????? ?? ??? ????? #losangeles #montereypark",Grief,
