text,emotions,,,
"??? ?? ????? (2 ???) ????? ???? ?? ???? achievement ? ???? ???????? ???? ????? ???? ?? ? ????? ??? ???? ????? ????? ,???? ????? ?? ??? ???? ???? ? ?? ?????? ????? ???? ?? ????? CSTE 07 ????? ,?????? ,?????? ,???????? ?????? ????? ??????? ????? ???? ?????? ?????
??? ?? ????? ???? ????? ???? ?????? ? Thanks in advance ",Admiration,,,
"**?? ??????? ????? ??? ??? ????? ??**
???? ????? ??? ??? ??? ??,??????? ?????? ???? ?????? ?????? ?????..! ????????? ??? ??????? ???? ???? ???????? ???????? ?????? ????????.! ?? ???????? ???????? ???????? ?????? ???? ??????? ????? ???? ?????? ?????.! ?????? ?????????? ????? ?? ????, ????? ???? ?????? ?????? ????? ? ????? ???????? ?? ????? ??? ????? ??????? ?..!!
??? ???????? ? ????????? ???? ???? ????? :- ???? ??????? ??? ??????,??????? ?????? ????? ????? ?????..!! ??????? :-… See more",Admiration,,,
"???????? ??? ???? ???? ???
feeling-????? 
 ",Sadness,,,
"????-??????? ?????????? ????????? ??????? ??????? #?????_???????? ?????? ????? ???? ????? ?????-????????? ?????????? ????? ??????? ??????? ?????? ???? ????? ?????? ?????? ?????????????? ??? ?????? ??????? ?? ?????? ?????????????? ??????? ???? ?????? ???? ???? ??????? ?????? ???? ?????,????????? ?????????? ????????? ????-????? ???????? ????? ????? ??? ??? ????-??????? 
??? ??? ??????? ?????? ???,?? ???????? ????? ???? ?????:???????????(?????-""????? ????????"")
??:???:??? ???? ?… See more",Sadness,,,
"here we go.
the journey has started.
??? ?????? ??????????? ????? (11-14 dec)?
#????????_?????… See more",Joy,,,
"????? ????? ???? ???? ??????? ???! ?????????? ???????? ?????? ?? ???? ?????? ??? ???? ????? ?? ?????? ????? ???? ??????? ????????? ?????? ???? ????????? 
???????????? ???? ???? ???? ????? ??? ?????? ????? ??? ????? ???? ???? ????? ???? ???-??? ??? ????? ??? ??????????? ????? ?????? ???? ?????? ??? ???? ????? ????????? 
#???????????? ??????? ??? ?????? ??? ?? ??????? ????? ?? ?? ??? ?? ???? ????? ??? ?????? ??????? ???? ?? ??????? ??????? ???? ?????????? ???????? ????? ?????… See more",Admiration,,,
"??????? ???? ????, ??? ?????????
                                  ???????  ????? ????
??????? ???? ????, ??? ?????????
?????? ???????, ??? ?????… See more",Remorse,,,
"????? ??? ??? ?????
- ??????????? ?????
????? ??? ??? ?????, 
????? ??? ???- … See more",Joy,,,
"????? ????? ??....
 ?????? ???????? ???? ???? ???????
 ----
???? ??? ?????? ????? ??? ????? ?????? ?????? ???????
… See more",Optimism,,,
"????????? ???????? ?????? ???? ?????? (???) ?? ???? ??? ??????? ?????, ???? ??????? ???????? ???? ??????? ?????? ?????? ??? ???????? ??? ???? ?? ??? ????? ?????… See more",Love,,,
"??????? ??????????? ??????? ???? ?????? ??????? ?????? ??????? ???????? ????? ???????, ???? ??? ????? ???? ???? ??, ???? ????? ????? ??? ?????? ???? ???????????? ??? ??????? ????????? ???????????? ????? ????????? ???????? ????, ???? ??? ????? ???? ?? ??, ?????????? ????????? ?? ????? ???????? ?????? ???? ????? ??? ????? ??? ???? ???????, ????????? ???, ??????????? ?????? ???? ???? ????? ??? ??? ??????? ?????????? ??? ???? ???? ???? ???? ??? ???? ???? ?????? ????? ????
???? ??… See more",Confusion,,,
"????? ??????? ???????? ??????? ??? ????? ??? ????? ??? ???? ?????? ????? ???
??????? ???? ???????? ???? ?????? ?????????????? ????????? ??????? ????? ??? ???? ?? ????? ???????? ????????? ??????? ?????? ????????? '?????? ??? ??' ?? ???? ?????? ???????? ??? ??? ??????, ???? ?????? ????? ????????? ??????? ??? ??? ???? ????
?????? ????? ?????? ??? ???? ???? ??????????? ???? ????????? ???????, ???? ??????? ????-????? ??????????? ??????? ????? ??? ??? ????????? ????? (?????????? … See more",Sadness,,,
